batch,kernel_time,flops,utils,kernel_name
1,124.6,0.94,0.00566,"std::enable_if<!(false), void>::type internal::gemvx::kernel<long, long, __half, float, float, float, false, true, false, false, 9, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)"
2,128.8,1.82,0.01096,void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2::Params)
4,128.8,3.65,0.02199,void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2::Params)
6,128.8,5.47,0.03295,void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2::Params)
8,128.8,7.29,0.04392,void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2::Params)
10,129.0,9.1,0.05482,void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2::Params)
12,129.0,10.92,0.06578,void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2::Params)
14,129.0,12.75,0.07681,void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2::Params)
16,129.4,14.52,0.08747,void cutlass::Kernel<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2::Params)
20,128.4,18.29,0.11018,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
24,134.2,21.0,0.12651,ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_32x6_nn
28,135.0,24.36,0.14675,ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_32x6_nn
32,135.0,27.84,0.16771,ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_32x6_nn
36,135.0,31.32,0.18867,ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_32x6_nn
40,129.2,36.36,0.21904,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
44,129.6,39.87,0.24018,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
48,129.8,43.43,0.26163,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
52,130.0,46.98,0.28301,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
56,130.4,50.43,0.3038,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
60,130.4,54.04,0.32554,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
64,130.0,57.82,0.34831,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
68,137.0,58.29,0.35114,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
72,137.4,61.54,0.37072,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
76,136.8,65.24,0.39301,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
80,137.4,68.38,0.41193,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
84,137.4,71.8,0.43253,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
88,137.2,75.33,0.4538,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
92,138.6,77.95,0.46958,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
96,136.6,82.54,0.49723,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
100,145.8,80.55,0.48524,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
104,147.0,83.09,0.50054,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
108,146.8,86.4,0.52048,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
112,147.2,89.36,0.53831,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
116,147.2,92.55,0.55753,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
120,147.8,95.35,0.5744,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
124,147.8,98.53,0.59355,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
128,148.0,101.57,0.61187,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
132,213.4,72.64,0.43759,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
136,214.0,74.64,0.44964,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
140,213.6,76.97,0.46367,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
144,213.8,79.1,0.47651,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
148,214.0,81.22,0.48928,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
152,214.4,83.26,0.50157,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
156,214.6,85.37,0.51428,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
160,214.6,87.56,0.52747,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
164,214.2,89.92,0.54169,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
168,214.8,91.85,0.55331,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
172,215.2,93.87,0.56548,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
176,214.6,96.32,0.58024,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
180,214.6,98.51,0.59343,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
184,214.6,100.69,0.60657,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
188,214.6,102.88,0.61976,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
192,215.2,104.78,0.6312,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
196,215.4,106.86,0.64373,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
200,215.6,108.94,0.65627,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
204,215.8,111.02,0.6688,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
208,216.0,113.09,0.68127,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
212,215.8,115.37,0.695,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
216,216.0,117.44,0.70747,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
220,215.4,119.95,0.72259,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
224,216.8,121.34,0.73096,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
228,216.6,123.62,0.7447,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
232,217.2,125.44,0.75566,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
236,217.4,127.49,0.76801,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
240,218.6,128.94,0.77675,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
244,218.4,131.21,0.79042,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
248,217.8,133.72,0.80554,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
252,218.8,135.26,0.81482,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
256,223.6,134.46,0.81,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
260,285.6,106.91,0.64404,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
264,285.6,108.56,0.65398,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
268,285.6,110.2,0.66386,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
272,285.8,111.77,0.67331,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
276,285.8,113.41,0.68319,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
280,285.6,115.14,0.69361,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
284,286.0,116.62,0.70253,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
288,286.0,118.26,0.71241,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn
292,310.8,110.34,0.6647,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
296,310.6,111.92,0.67422,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
300,311.4,113.14,0.68157,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
304,312.0,114.43,0.68934,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
308,311.4,116.16,0.69976,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
312,311.6,117.59,0.70837,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
316,312.2,118.87,0.71608,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
320,311.8,120.53,0.72608,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
324,311.8,122.04,0.73518,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
328,312.4,123.31,0.74283,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
332,311.6,125.13,0.7538,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
336,311.2,126.8,0.76386,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
340,311.0,128.39,0.77343,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
344,313.2,128.99,0.77705,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
348,314.2,130.07,0.78355,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_nn
