batch,kernel_time,flops,utils,kernel_name
1128,209.76,180.44,0.57833,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1132,210.01,180.87,0.57971,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1136,209.85,181.64,0.58218,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1140,209.8,182.33,0.58439,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1144,210.1,182.7,0.58558,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1148,209.85,183.56,0.58833,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1152,209.38,184.62,0.59173,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1156,210.02,184.69,0.59196,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1160,209.54,185.76,0.59538,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1164,209.97,186.01,0.59619,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1168,209.65,186.94,0.59917,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1172,209.9,187.35,0.60048,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1176,209.93,187.97,0.60247,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1180,209.64,188.87,0.60535,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1184,209.7,189.45,0.60721,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1188,210.0,189.82,0.6084,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1192,209.81,190.63,0.61099,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1196,209.89,191.2,0.61282,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1200,209.77,191.95,0.61522,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1204,210.11,192.28,0.61628,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1208,210.23,192.81,0.61798,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1212,209.85,193.8,0.62115,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1216,209.78,194.5,0.6234,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1220,209.66,195.25,0.6258,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1224,209.96,195.61,0.62696,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1228,209.72,196.48,0.62974,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1232,209.45,197.37,0.6326,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1236,209.53,197.93,0.63439,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1240,209.99,198.14,0.63506,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1244,210.16,198.62,0.6366,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1248,210.4,199.03,0.63792,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1252,209.85,200.19,0.64163,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1256,210.2,200.5,0.64263,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1260,210.08,201.25,0.64503,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1264,210.04,201.93,0.64721,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1268,209.97,202.63,0.64946,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1272,210.14,203.11,0.65099,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1276,210.54,203.36,0.65179,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1280,209.79,204.73,0.65619,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1284,210.21,204.96,0.65692,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1288,210.41,205.4,0.65833,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1292,209.7,206.73,0.6626,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1296,209.57,207.5,0.66506,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1300,210.55,207.18,0.66404,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1304,210.06,208.3,0.66763,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1308,210.36,208.64,0.66872,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1312,210.45,209.19,0.67048,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1316,209.78,210.49,0.67465,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1320,210.02,210.89,0.67593,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1324,210.03,211.52,0.67795,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1328,210.32,211.87,0.67907,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1332,210.51,212.32,0.68051,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1336,210.54,212.92,0.68244,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1340,210.35,213.75,0.6851,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1344,210.21,214.53,0.6876,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1348,209.44,215.96,0.69218,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1352,210.19,215.83,0.69176,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1356,210.21,216.45,0.69375,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1360,210.24,217.06,0.69571,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1364,210.76,217.16,0.69603,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1368,210.33,218.24,0.69949,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1372,210.25,218.96,0.70179,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1376,210.65,219.18,0.7025,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1380,209.94,220.56,0.70692,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1384,210.14,220.99,0.7083,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1388,210.46,221.29,0.70926,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1392,210.52,221.87,0.71112,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1396,210.65,222.37,0.71272,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1400,210.36,223.31,0.71574,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1404,210.83,223.45,0.71619,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1408,210.17,224.79,0.72048,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1412,210.15,225.45,0.7226,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1416,211.17,225.0,0.72115,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1420,210.63,226.21,0.72503,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1424,210.59,226.89,0.72721,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1428,210.4,227.74,0.72994,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1432,210.45,228.32,0.73179,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1436,209.68,229.8,0.73654,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1440,210.07,230.01,0.73721,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1444,210.12,230.59,0.73907,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1448,210.88,230.4,0.73846,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1452,210.73,231.2,0.74103,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1456,210.8,231.76,0.74282,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1460,210.14,233.13,0.74721,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1464,210.82,233.01,0.74683,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1468,210.84,233.63,0.74881,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1472,210.65,234.47,0.75151,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1476,210.93,234.8,0.75256,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1480,211.16,235.18,0.75378,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1484,210.64,236.4,0.75769,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1488,210.57,237.11,0.75997,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1492,210.54,237.78,0.76212,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1496,210.92,237.99,0.76279,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1500,210.74,238.83,0.76548,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1504,210.76,239.45,0.76747,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1508,210.76,240.08,0.76949,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1512,210.91,240.55,0.77099,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1516,211.3,240.74,0.7716,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1520,211.65,240.98,0.77237,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1524,210.16,243.32,0.77987,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1528,210.45,243.63,0.78087,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1532,210.49,244.22,0.78276,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1536,210.73,244.58,0.78391,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1540,211.84,243.93,0.78183,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1544,211.69,244.74,0.78442,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1548,211.62,245.45,0.7867,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1552,212.1,245.53,0.78696,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1556,211.54,246.81,0.79106,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1560,211.66,247.31,0.79266,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1564,211.88,247.68,0.79385,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1568,211.82,248.39,0.79612,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1572,211.84,249.0,0.79808,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1576,211.72,249.77,0.80054,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1580,211.44,250.74,0.80365,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1584,212.12,250.57,0.80311,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1588,211.98,251.37,0.80567,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1592,211.96,252.02,0.80776,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1596,212.61,251.88,0.80731,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1600,212.56,252.57,0.80952,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1604,212.24,253.59,0.81279,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1608,212.36,254.08,0.81436,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1612,212.27,254.82,0.81673,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1616,211.63,256.22,0.82122,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1620,212.25,256.1,0.82083,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1624,212.74,256.15,0.82099,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1628,212.51,257.05,0.82388,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1632,212.64,257.53,0.82542,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1636,212.46,258.38,0.82814,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1640,212.81,258.58,0.82878,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1644,212.45,259.65,0.83221,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1648,212.57,260.14,0.83378,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1652,213.45,259.7,0.83237,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1656,212.61,261.35,0.83766,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1660,213.03,261.47,0.83804,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
