batch,kernel_time,flops,utils,kernel_name
26256,19536.56,157.83,0.95078,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26260,19509.09,158.08,0.95229,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26264,19509.46,158.1,0.95241,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26268,19829.09,155.58,0.93723,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26272,19634.94,157.14,0.94663,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26276,19526.04,158.04,0.95205,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26280,19608.64,157.4,0.94819,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26284,19615.6,157.36,0.94795,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26288,19525.88,158.11,0.95247,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26292,19583.72,157.67,0.94982,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26296,19638.04,157.26,0.94735,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26300,19615.12,157.46,0.94855,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26304,19478.43,158.59,0.95536,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn
26308,19889.16,155.34,0.93578,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26312,19992.63,154.56,0.93108,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26316,19907.96,155.24,0.93518,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26320,20004.53,154.52,0.93084,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26324,20106.42,153.76,0.92627,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26328,20105.1,153.79,0.92645,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26332,20016.77,154.49,0.93066,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26336,19922.3,155.25,0.93524,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26340,19958.78,154.99,0.93367,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26344,20016.98,154.56,0.93108,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26348,20062.78,154.23,0.9291,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26352,20069.26,154.21,0.92898,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26356,20064.46,154.27,0.92934,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
