batch,kernel_time,flops,utils
5800,5181.34,131.46,0.79193
5804,5180.77,131.57,0.79259
5808,5177.18,131.75,0.79367
5812,5179.66,131.78,0.79386
5816,5178.82,131.89,0.79452
5820,5180.42,131.94,0.79482
5824,5180.48,132.03,0.79536
6020,5436.9,130.04,0.78337
6024,5434.62,130.18,0.78422
6028,5434.25,130.27,0.78476
6032,5434.43,130.35,0.78524
6036,5433.94,130.45,0.78584
6040,5434.56,130.52,0.78627
6044,5440.41,130.47,0.78596
6048,5432.25,130.75,0.78765
6052,5434.16,130.79,0.78789
6056,5434.59,130.87,0.78837
6060,5437.47,130.89,0.78849
6064,5437.7,130.97,0.78898
6068,5438.54,131.03,0.78934
6072,5437.13,131.15,0.79006
6076,5439.31,131.19,0.7903
6080,5443.24,131.18,0.79024
6084,5441.82,131.3,0.79096
6088,5441.31,131.4,0.79157
6092,5440.45,131.51,0.79223
6096,5442.46,131.54,0.79241
6100,5439.26,131.71,0.79343
6104,5435.79,131.88,0.79446
6108,5435.42,131.97,0.795
6112,5434.21,132.09,0.79572
6116,5435.22,132.15,0.79608
6120,5434.92,132.24,0.79663
6124,5435.7,132.31,0.79705
6128,5431.37,132.5,0.79819
6132,5433.0,132.55,0.79849
6136,5437.38,132.53,0.79837
6140,5435.27,132.67,0.79922
6144,5439.36,132.65,0.7991
6276,5673.1,129.92,0.78265
6280,5677.23,129.91,0.78259
6284,5675.49,130.03,0.78331
6288,5675.27,130.12,0.78386
6292,5672.66,130.26,0.7847
6296,5683.48,130.1,0.78373
6300,5681.57,130.22,0.78446
6304,5682.32,130.29,0.78488
6308,5677.53,130.48,0.78602
6312,5675.93,130.6,0.78675
6316,5676.67,130.67,0.78717
6320,5675.48,130.78,0.78783
6324,5679.86,130.76,0.78771
6328,5679.31,130.85,0.78825
6332,5679.97,130.92,0.78867
6336,5676.09,131.09,0.7897
6340,5696.94,130.7,0.78735
6344,5694.06,130.85,0.78825
6348,5695.04,130.91,0.78861
6352,5693.52,131.02,0.78928
6356,5695.26,131.07,0.78958
6360,5696.26,131.12,0.78988
