batch,kernel_time,flops,utils
6440,9297.95,162.68,0.52141
6444,9297.37,162.8,0.52179
6448,9088.4,166.64,0.5341
6452,9316.97,162.66,0.52135
6456,9404.53,161.24,0.51679
6460,9221.76,164.54,0.52737
6464,9183.87,165.32,0.52987
6468,9433.2,161.05,0.51619
6472,9481.65,160.33,0.51388
6476,9494.89,160.2,0.51346
6480,9241.17,164.7,0.52788
6484,8601.45,177.06,0.5675
6488,9399.35,162.13,0.51965
6492,9181.58,166.08,0.53231
6496,9160.92,166.55,0.53381
6500,9417.55,162.12,0.51962
6504,9424.82,162.09,0.51952
6508,9437.15,161.98,0.51917
6512,9349.93,163.59,0.52433
6516,9393.63,162.93,0.52221
6520,9457.51,161.93,0.51901
6524,9532.42,160.75,0.51522
6528,9470.67,161.9,0.51891
6532,9249.03,165.88,0.53167
6536,9439.45,162.63,0.52125
6540,9533.06,161.14,0.51647
6544,9505.77,161.7,0.51827
6548,9530.46,161.38,0.51724
6552,9418.72,163.39,0.52369
6556,9400.11,163.82,0.52506
6560,9514.22,161.95,0.51907
6564,9517.54,161.99,0.5192
6568,9487.8,162.6,0.52115
6572,9306.6,165.86,0.5316
6576,9436.7,163.68,0.52462
6580,9463.87,163.31,0.52343
6584,9633.31,160.53,0.51452
6588,9551.25,162.01,0.51926
6592,9548.78,162.15,0.51971
6596,9534.38,162.49,0.5208
6600,9619.83,161.15,0.51651
6604,9677.77,160.28,0.51372
6608,9766.42,158.92,0.50936
6612,9689.77,160.28,0.51372
6616,9428.72,164.81,0.52824
6620,9385.64,165.67,0.53099
6624,9552.39,162.88,0.52205
6628,9634.13,161.59,0.51792
6632,9751.63,159.74,0.51199
6636,9597.24,162.41,0.52054
6640,9442.73,165.17,0.52939
6644,9394.34,166.12,0.53244
6648,9515.81,164.09,0.52593
6652,9684.53,161.33,0.51708
6656,9699.76,161.18,0.5166
6660,9472.9,165.14,0.52929
6664,9403.82,166.45,0.53349
6668,9363.28,167.27,0.53612
6672,9538.66,164.29,0.52657
6676,9746.8,160.88,0.51564
6680,9740.69,161.08,0.51628
6684,9703.65,161.79,0.51856
6688,9663.79,162.55,0.52099
6692,9513.79,165.22,0.52955
